Fecha;NMT;Nombre;Ld;Le;Ln;LAeq24;LAS01;LAS10;LAS50;LAS90;LAS99
ene-23;1;Paseo de Recoletos;65,5;65,7;62,5;64,7;72,1;67,4;61,4;53,5;48,1
ene-23;2;Carlos V;67,5;67,7;64,1;66,6;74,2;67,6;63,5;57,6;53,3
ene-23;3;Plaza del Carmen;63,2;61,9;58,9;62;70,8;63,5;56,5;49,5;46,5
ene-23;4;Plaza de España;62,7;63,2;66,2;64,3;71,2;63,2;59,3;53,7;49,3
ene-23;5;Barrio del Pilar;61,5;61,9;57;60,6;67,6;63,2;57,6;44,8;38,6
ene-23;6;Gregorio Marañón;69,8;70;65,4;68,8;76,4;71,7;65,3;57,1;50,2
ene-23;8;Escuelas Aguirre;66,5;66,1;62,9;65,5;73,1;68,4;62,6;54,4;45,7
ene-23;10;Cuatro Caminos;65,3;64,8;61,6;64,3;72,5;66,9;58,7;47,5;43
ene-23;11;Ramón y Cajal;69,9;68,9;64,1;68,5;75,4;71,4;65,1;49,7;40,9
ene-23;12;Plaza Manuel Becerra;63,4;62,7;57,9;62,1;70,4;63,5;58,9;50;43,6
ene-23;13;Vallecas;59,5;57,2;55,8;58,2;66;59,6;52,5;42,6;39,5
ene-23;14;Glorieta Fdez. Ladreda;63,8;63;59,5;62,6;69,1;64,1;60,6;53,4;47,7
ene-23;16;Arturo Soria;61,1;59,2;54,2;59,3;67;61,6;55,1;41,6;37,7
ene-23;17;Villaverde;56,7;59,4;62,6;59,9;64,2;56,5;50,2;41,9;38,9
ene-23;18;Farolillo;56,1;57,5;69,8;65,4;64,6;56;48,5;42,1;41,4
ene-23;19;Alto Extremadura;61,2;60,9;60,8;61;68,2;61,9;55;44,2;38,2
ene-23;20;Avda de Moratalaz;62;61,8;56,3;60,8;69,2;63,1;55,8;44,9;39,5
ene-23;24;Casa de Campo;50,5;48,3;47,4;49,4;56,9;51,1;46,1;42,8;42,1
ene-23;25;Santa Eugenia;69,4;68,8;64,8;68,2;72;70,4;68,2;60;51,2
ene-23;26;Embajada;63;63;58,3;61,9;69;65,1;59,7;52,2;44,5
ene-23;27;Barajas Pueblo;61,6;60,5;57,8;60,5;70,4;64;54,3;45,5;40,6
ene-23;28;Cuatro Vientos;64,3;63,2;57,6;62,8;71,1;66,5;57,9;39,7;34,4
ene-23;29;El Pardo;62,8;55,6;50,4;60,2;70;62,1;50,6;33,7;29,2
ene-23;30;Campo de las Naciones;59,1;57,1;53,1;57,5;64,8;59,6;54,9;45,7;43,8
ene-23;31;Sanchinarro;65,1;65;55,3;63,6;74,4;67,6;54,9;44,6;41,2
ene-23;47;Méndez Álvaro;58,1;54,8;51,6;56,2;67;53,9;47,4;41;39,7
ene-23;48;Castellana;60,6;60,1;56;59,4;66,1;61,7;57,8;50;44,2
ene-23;50;Pza de Castilla;66,8;66,2;61,6;65,5;72;67,1;63,2;55;49,9
ene-23;54;Ensanche de Vallecas;62,2;61,6;58;61;68,2;64;58,5;49,5;48,6
ene-23;55;Urbanización Embajada II;56,1;54,7;50,9;54,7;63,5;57;50,5;42,7;38,3
ene-23;86;Tres Olivos;57,2;54,5;53,9;55,9;64,6;57,9;48,5;37;34,5
feb-23;1;Paseo de Recoletos;65,3;64,6;61,9;64,4;71,6;66,7;61,1;53,2;47,5
feb-23;2;Carlos V;67,5;67,2;63,5;66,4;74,6;67,8;63,4;57,1;52,4
feb-23;3;Plaza del Carmen;65;62,3;58,6;63,2;72,7;65,3;58;49,9;46,4
feb-23;4;Plaza de España;66;64,1;58,9;64,2;72,6;63,8;59,4;53,5;48,8
feb-23;5;Barrio del Pilar;61,7;61,3;54,3;60,2;67,4;63,1;57,6;44,5;38,9
feb-23;6;Gregorio Marañón;69,5;68,9;64,8;68,4;76,2;71,3;65,1;57;50,1
feb-23;8;Escuelas Aguirre;66,2;65,7;62,2;65,1;72,8;68;62,2;53,8;44,8
feb-23;10;Cuatro Caminos;64,9;63,8;58,6;63,4;72,2;66,6;58,4;46,8;42
feb-23;11;Ramón y Cajal;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D
feb-23;12;Plaza Manuel Becerra;63,1;62,5;57,3;61,6;70;63,1;58,5;49,8;44,7
feb-23;13;Vallecas;58,4;56,9;49,7;56,6;65;58,7;51,8;42,3;39,5
feb-23;14;Glorieta Fdez. Ladreda;63,7;62,7;58,6;62,4;69,6;63,9;60,2;52,9;47,2
feb-23;16;Arturo Soria;62,3;59,5;53,2;60,2;67,5;61,2;54,7;40,9;37,3
feb-23;17;Villaverde;59,4;54;47,9;57;66,1;57,5;50,2;42;39,3
feb-23;18;Farolillo;58,5;56,1;48,2;56,5;65,7;57,6;49,4;42,7;41,7
feb-23;19;Alto Extremadura;60,3;59;53,2;58,7;67,4;61,4;54,4;43,4;37,5
feb-23;20;Avda de Moratalaz;61,7;60,4;54,5;60;68,5;62,7;55,5;44,1;39,7
feb-23;24;Casa de Campo;48,8;46,5;44,4;47,4;54,8;49,6;44,7;42,5;41,9
feb-23;25;Santa Eugenia;69,6;69,2;64,8;68,4;72,4;70,7;68,4;60,2;51,6
feb-23;26;Embajada;62,7;61,8;58;61,4;68,8;65;59,4;51,6;44
feb-23;27;Barajas Pueblo;61,2;60;56,4;59,9;70,1;63,7;53,7;45,1;38,5
feb-23;28;Cuatro Vientos;63,8;62;55,7;62;70,5;65,9;57,1;37,7;33,4
feb-23;29;El Pardo;59,6;55,4;50,2;57,3;66,4;61;50,1;32,9;28,9
feb-23;30;Campo de las Naciones;58,7;57,1;50,9;57;64,2;59,4;54,8;45,4;43,5
feb-23;31;Sanchinarro;64,2;64;54;62,6;73,8;66,5;53,5;43,8;40,5
feb-23;47;Méndez Álvaro;55,7;54,6;49,6;54,2;65,7;53,5;47,2;41;39,4
feb-23;48;Castellana;60;59,2;55,2;58,7;65,5;61,1;57,3;49,6;43,9
feb-23;50;Pza de Castilla;66;65,5;61,4;64,9;71,7;66,7;62,8;54,6;49,5
feb-23;54;Ensanche de Vallecas;62;61,4;55,4;60,5;67,7;63,8;58,3;49,9;48,9
feb-23;55;Urbanización Embajada II;61,2;54,5;50,8;58,7;64,2;57,3;50,5;43,3;38,7
feb-23;86;Tres Olivos;57,2;54,5;47,1;55,1;64,7;58;48,2;37,2;35,7
